State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
NJ,,A3104,,Reorganizes and renames DHSS as Department of Health; establishes Division of Aging Services in DHS.,Approved P.L.2012; c.17.,6/29/2012,Mary Angelini; Amy Handlin; Thomas Kean; Donna Simon; Joseph Vitale,8,3,https://www.billtrack50.com/BillDetail/284566,billtrack50
MA,,H2842,,Relative to unfair competition,Accompanied a study order; see H4364,7/31/2012,Michael Moran,12,1,https://www.billtrack50.com/BillDetail/41111,billtrack50
CA,,SB1017,,Vote by mail ballots and election result statements.,From committee with author's amendments. Read second time and amended. Re-referred to Com. on BUDGET. (Corrected August 24.),8/23/2012,,11,4,https://www.billtrack50.com/BillDetail/172812,billtrack50
CA,,AB1466,,Budget Act of 2012: Governor's Scholarship Programs:,Re-referred to Com. on RLS.,8/27/2012,Luis Alejo; Robert Blumenfield; Susan Bonilla; Julia Brownley; Joan Buchanan; Betsy Butler; Wesley Chesbro; Roger Dickinson; Mike Feuer; Richard Gordon; Jared Huffman; Holly Mitchell; William Monning; Sandré Swanson,17,4,https://www.billtrack50.com/BillDetail/140308,billtrack50
CA,,AB1476,,Education finance.,Re-referred to Coms. on ED. and BUDGET pursuant to Assembly Rule 77.2.,8/30/2012,Luis Alejo; Robert Blumenfield; Susan Bonilla; Julia Brownley; Joan Buchanan; Betsy Butler; Wesley Chesbro; Roger Dickinson; Mike Feuer; Richard Gordon; Jared Huffman; Holly Mitchell; William Monning; Sandré Swanson,19,4,https://www.billtrack50.com/BillDetail/140756,billtrack50
CA,,SB1028,,Education finance.,Chaptered by Secretary of State. Chapter 575; Statutes of 2012.,9/26/2012,,15,5,https://www.billtrack50.com/BillDetail/172460,billtrack50
CA,,AB1246,,Instructional materials.,Chaptered by Secretary of State - Chapter 668; Statutes of 2012.,9/27/2012,Julia Brownley; Alan Lowenthal,29,10,https://www.billtrack50.com/BillDetail/8607,billtrack50
CA,,SB1052,,Public postsecondary education: California Open,Chaptered by Secretary of State. Chapter 621; Statutes of 2012.,9/27/2012,Elaine Alquist; Robert Blumenfield; Kevin de Leon; Anthony Portantino; Jose Solorio; Darrell Steinberg; Leland Yee; Carol Liu; Fran Pavley,25,6,https://www.billtrack50.com/BillDetail/176519,billtrack50
CA,,SB1053,,Public postsecondary education: California Digital Open,Chaptered by Secretary of State. Chapter 622; Statutes of 2012.,9/27/2012,Elaine Alquist; Robert Blumenfield; Kevin de Leon; Jose Solorio; Darrell Steinberg; Leland Yee; Carol Liu; Fran Pavley,25,6,https://www.billtrack50.com/BillDetail/176517,billtrack50
MA,,H76,,Creating a means for tracking the unmet need of individuals with developmental disabilities in the Commonwealth of Massachusetts.,Accompanied a study order; see H4533,12/6/2012,John Fresolo; Tom Sannicandro,11,1,https://www.billtrack50.com/BillDetail/36822,billtrack50
